open_text,kampagne_specifikt,billige_billetter,afslappende_behageligt_nem_transport,tag_toget,ved_ikke,andet,plads_til_alle,klima_baeredygtighed_gron_omstilling,alternativ_transport
At de har 3 tilbud til folk over 65,1,0,0,0,0,0,0,0,0
"Der er ikke mindre end tre forskellige måder at købe billet på, hvis man er fyldt 65. Det vil sikkert forvirre så mange, at de ikke lægger mærke til at billetterne er blevet dyrere.",1,0,0,0,0,0,0,0,0
At man som pensionist kan vælge mellem flere billige alternativer,1,0,0,0,0,0,0,0,0
At pensionister kan rejse billigere end de måske tror,1,0,0,0,0,0,0,0,0
"At der er 3 forskellige billettyper at vælge imellem, hvis man er over 65, som hver især giver gode rabatter",1,0,0,0,0,0,0,0,0
ønsker at få flere kunder,0,0,0,1,0,0,0,0,0
flere rejsemuligheder til pensionister,1,0,0,0,0,0,0,0,0
"Hvilke muligheder, man har",0,1,0,0,0,0,0,0,0
At man ikke behøver at betale den enormt høje pris for en billet,0,1,0,0,0,0,0,0,0
at det er billigt for pensionister at køre med toget,1,0,0,0,0,0,0,0,0
At der er alternativer til seniorer,1,0,0,0,0,0,0,0,0
"Oplyse folk om deres muligheder. Men valg kan være forvirrende for folk, de vil hellere have én klar besked, forstår dog godt jeres oplysning.",0,1,0,0,0,0,0,0,0
"At der er forskellige biletter afhængig af hvad man har brug for, når man er over 65",1,0,0,0,0,0,0,0,0
"At bevidstgøre 65-publikum om 3 differentierede ""over Storebælt"" rejseløsninger.",1,0,0,0,0,0,0,0,0
Gør det nemt for ældre at vælge og rejse med DSB,1,0,1,0,0,0,0,0,0
pensionist rabat,1,0,0,0,0,0,0,0,0
"At vi skal tro på deres løgne, -. og at vi skal acceptere at priserne bliver endnu mere for høje",1,0,0,0,0,0,0,0,0
Jamen de har et godt tilbud til mig nemlig 65-billet,1,0,0,0,0,0,0,0,0
"at det er nemt, enkelt og billigt at rejse med DSB",0,0,1,0,0,0,0,0,0
reklame for sig. Anbefaling for et godt produkt i deres øjne,0,0,0,1,0,0,0,0,0
At der er flere muligheder,0,1,0,0,0,0,0,0,0
at rygtet om nedlægningen af 65-billetter ikke passer,0,0,0,0,0,1,0,0,0
vise muligheder,0,1,0,0,0,0,0,0,0
Der er flere muligheder hvis du er 65,1,0,0,0,0,0,0,0,0
At orientere om mulighederne på en nem møde.,0,1,0,0,0,0,0,0,0
at få flere til at benytte toget,0,0,0,1,0,0,0,0,0
"Vil kapre kunder, der rejer på ikke travle tider",0,0,0,1,0,0,0,0,0
reklame,0,0,0,1,0,0,0,0,0
flere muligheder for ældre,1,0,0,0,0,0,0,0,0
"at hvis man er 65 eller over, så er der penge at spare",1,0,0,0,0,0,0,0,0
